"","H.sst.AEN","E.sst.AEN"
"1902-06-01",-0.624288384749563,-1.08214615636978
"1902-07-01",-0.64169755965347,-1.20868472310761
"1902-08-01",-0.885912438646723,-1.02734121914644
"1902-09-01",-0.678230415300508,-0.830999870431635
"1902-10-01",-0.914973684973267,-1.2695095839916
"1902-11-01",-1.30916549028278,-1.09839365650439
"1902-12-01",-0.300353835726904,-0.721351476820301
"1903-01-01",-0.258702606728157,-0.388563403760013
"1903-02-01",-0.371400290364291,-0.422023472649645
"1903-03-01",-0.498050066187936,-0.596179926938926
"1903-04-01",-0.711805018753125,-0.884495340572936
"1903-05-01",-0.727925404969623,-0.95848957745089
"1903-06-01",-0.755757999891524,-0.806268475375488
"1903-07-01",-0.357422003791426,-0.545417457486591
"1903-08-01",-0.61555378239153,-0.754160485586072
"1903-09-01",-0.789640406452653,-0.882971775717041
"1903-10-01",-0.517584658882606,-0.448977049293618
"1903-11-01",-0.916522427467864,-0.582125245933859
"1903-12-01",-0.517567974050921,-0.532951628388565
"1904-01-01",-0.443746948811854,-0.515101844262701
"1904-02-01",-0.879633526141312,-0.845966634304149
"1904-03-01",-1.19135642267615,-1.26879110812961
"1904-04-01",-1.23130435908316,-1.03007468835994
"1904-05-01",-0.996837349855834,-0.903016255923046
"1904-06-01",-1.31984732079879,-1.52479307861334
"1904-07-01",-1.25398429294799,-1.65904214716434
"1904-08-01",-1.43648464281295,-1.80074968300518
"1904-09-01",-1.26867050380329,-1.46378346930054
"1904-10-01",-1.6056203686667,-1.53915354629084
"1904-11-01",-1.2960771383036,-1.28118087891524
"1904-12-01",-0.687445380457942,-1.03672979307802
"1905-01-01",-0.851012161225456,-0.76855159596943
"1905-02-01",-0.710091237758555,-0.595875519984895
"1905-03-01",-0.73682510719755,-0.787402218473562
"1905-04-01",-0.571427516287397,-0.597145169147582
"1905-05-01",-0.579844869151463,-0.688991345781893
"1905-06-01",-0.817929569106333,-1.45303954608017
"1905-07-01",-0.816520151498685,-1.3849641586423
"1905-08-01",-1.55983925484266,-1.36405140614723
"1905-09-01",-1.18148761591327,-0.867215903876409
"1905-10-01",-0.842386070974158,-0.834018229427259
"1905-11-01",-0.845051721939026,-0.789418757759399
"1905-12-01",-0.570133609005211,-0.40434115315254
"1906-01-01",-0.241563154154312,-0.317216885179625
"1906-02-01",-0.261804746919025,-0.299097190430408
"1906-03-01",0.155116204029802,-0.107725529460158
"1906-04-01",-0.467469653840419,-0.602958469824096
"1906-05-01",-1.06839741979397,-1.52828412412265
"1906-06-01",-1.60242231646712,-1.85508987201878
"1906-07-01",-0.981404056794271,-1.42849280656925
"1906-08-01",-0.702604512372307,-1.31541748303553
"1906-09-01",-0.858438728892792,-1.21825616938881
"1906-10-01",-1.2429297204718,-1.44712544594443
"1906-11-01",-0.703414877346693,-1.04579416512312
"1906-12-01",-0.760940544827613,-0.760245639951686
"1907-01-01",-0.553079685921985,-0.744628610484111
"1907-02-01",-0.8820056066476,-0.616657178545378
"1907-03-01",0.0121177983427504,-0.239652650828702
"1907-04-01",-0.753387907804273,-0.502147461548641
"1907-05-01",-0.574348983791193,-0.324390395078576
"1907-06-01",-0.437531916417821,-0.525539064535434
"1907-07-01",-0.536588228889957,-1.03507043409895
"1907-08-01",-0.526781003070604,-0.637262609971485
"1907-09-01",-0.423718125608263,-0.751613261777395
"1907-10-01",-0.807347659884974,-1.13197016088899
"1907-11-01",-0.641601294153866,-0.647028278403035
"1907-12-01",-0.384111691213234,-0.432210424872897
"1908-01-01",-0.470589388059643,-0.372787783194931
"1908-02-01",-0.630754120873338,-0.599124809024268
"1908-03-01",-0.666102543618391,-0.795781031583006
"1908-04-01",-0.918969934939956,-0.984280435988313
"1908-05-01",-1.25429474844709,-1.28371297652406
"1908-06-01",-1.23557813251768,-1.57056042700829
"1908-07-01",-0.839147520290956,-1.33998630549794
"1908-08-01",-0.522319480681091,-0.827696454750031
"1908-09-01",-0.47452112418727,-0.668303062147962
"1908-10-01",-0.435095506440036,-0.718822299465948
"1908-11-01",-0.518385818253975,-0.596621785571966
"1908-12-01",-0.248947314685921,-0.425338955650158
"1909-01-01",-0.412466101765492,-0.692936815163211
"1909-02-01",-0.89344388506886,-0.787519521453116
"1909-03-01",-0.299354639044498,-0.547712584891104
"1909-04-01",-0.150640204165112,-0.27206765647386
"1909-05-01",-0.0964675166976654,0.00573075081805121
"1909-06-01",-0.130746427043362,-0.289417515696676
