"","H.sst.AMM","E.sst.AMM"
"1979-09-01",0.00219177667482609,-0.0904138859865224
"1979-10-01",0.261944006309523,0.152216079709416
"1979-11-01",0.233933486329677,0.316762579100596
"1979-12-01",0.313282473270056,0.393549765320592
"1980-01-01",0.638146316822368,0.579607258814794
"1980-02-01",0.758698861006291,0.792616334764726
"1980-03-01",0.525091612712603,0.577548132475916
"1980-04-01",0.550967574354824,0.679344554746037
"1980-05-01",0.780569443651282,0.931609246558648
"1980-06-01",0.636874673403043,0.740204972771316
"1980-07-01",0.264052320202909,0.254387522075664
"1980-08-01",0.0781760599961101,0.185859816798921
"1980-09-01",0.231406947110517,0.27462650141543
"1980-10-01",0.417976094472518,0.321064439309502
"1980-11-01",0.389128436476632,0.401146439572975
"1980-12-01",0.73296287390717,0.818801896427549
"1981-01-01",0.789000230220217,0.699848603574959
"1981-02-01",0.662076877196227,0.892457780283355
"1981-03-01",1.26443699888467,1.60747415603093
"1981-04-01",0.892287072370781,1.04839890331807
"1981-05-01",1.06902935404555,1.12278289526482
"1981-06-01",0.970433324876828,0.889310221888657
"1981-07-01",0.662791323717737,0.551498896366035
"1981-08-01",0.709957097575647,0.675704091981668
"1981-09-01",0.336712754859757,0.267953321125457
"1981-10-01",0.00721572366296728,0.206370493920399
"1981-11-01",0.465722105933969,0.391255967198172
"1981-12-01",0.603842361291493,0.654035370744558
"1982-01-01",0.536620670337036,0.682602308371808
"1982-02-01",0.559007831957867,0.53202068203693
"1982-03-01",0.257789980061839,0.615004726942733
"1982-04-01",0.381447528066236,0.48969756897155
"1982-05-01",0.452998680696494,0.697569956791737
"1982-06-01",0.212223178601508,0.240515749334846
"1982-07-01",0.187561068728748,0.262454426193707
"1982-08-01",0.268977005260789,0.23913255243797
"1982-09-01",0.103629461660406,0.125508286810951
"1982-10-01",0.0191208155141638,0.0894888847317459
"1982-11-01",-0.177435283387297,-0.15808780289072
"1982-12-01",-0.422163377618706,-0.237140440432644
"1983-01-01",-0.457363833001308,-0.340303316631068
"1983-02-01",-0.14141680256958,-0.0591351953982143
"1983-03-01",0.73011054044702,0.870946942270655
"1983-04-01",0.506928162214092,0.764608404843854
"1983-05-01",0.322892356630792,0.476839539571277
"1983-06-01",0.353789565508831,0.384571845379364
"1983-07-01",0.314501414022614,0.244668871063761
"1983-08-01",-0.10216337110709,-0.020172205258187
"1983-09-01",-0.0568296599283024,0.0297167590445669
"1983-10-01",0.00649608409712744,0.072145511008264
"1983-11-01",-0.0115578315132543,0.0309070426736682
"1983-12-01",-0.085440983911027,0.125490621042225
"1984-01-01",-0.533570137627541,-0.472002391286409
"1984-02-01",-0.808909136854556,-0.652780474731128
"1984-03-01",-0.630405895103661,-0.477870182436783
"1984-04-01",-0.309245788533166,-0.183144568255205
"1984-05-01",-0.224614826628236,-0.0844284906445412
"1984-06-01",-0.643448486406242,-0.564733888327823
"1984-07-01",-0.595345598209297,-0.599548423213502
"1984-08-01",-0.623609201185255,-0.64002209247708
"1984-09-01",-0.63673535106388,-0.582933567706914
"1984-10-01",-0.544021328943081,-0.523630635168853
"1984-11-01",-0.532482873569059,-0.4186195435897
"1984-12-01",-0.499576274464353,-0.256830673374862
"1985-01-01",-0.475225155358745,-0.279104798614894
"1985-02-01",-0.611535755502573,-0.425474925284689
"1985-03-01",-0.712694022283802,-0.62404587443795
"1985-04-01",-0.673366821635603,-0.630671974143298
"1985-05-01",-0.789081387329284,-0.62477943912973
"1985-06-01",-0.164174722599498,-0.0822274252183281
"1985-07-01",0.163914647930694,0.0856561691686701
"1985-08-01",0.0639208506839867,-0.073134589789172
"1985-09-01",-0.0314837706873717,-0.159006629915985
"1985-10-01",-0.286740215407234,-0.353208339248262
"1985-11-01",-0.118287939888492,-0.0762053121464879
"1985-12-01",-0.163583928928107,-0.0793524655350545
"1986-01-01",-0.534986316869698,-0.555870037405466
"1986-02-01",-0.818969961270066,-0.663706200719938
"1986-03-01",-0.662749954157485,-0.635345701812161
"1986-04-01",-0.500341908663641,-0.326382764479538
"1986-05-01",-0.644753339364678,-0.411249659036354
"1986-06-01",-0.548465108614658,-0.535576557760371
"1986-07-01",-0.319354750279076,-0.363089186259432
"1986-08-01",-0.287313735334921,-0.392558114097506
"1986-09-01",-0.160508139102788,-0.208315067396781
"1986-10-01",-0.23016616517167,-0.245589059921702
"1986-11-01",-0.136164030195051,-0.159995521714263
"1986-12-01",-0.445346201581556,-0.562390099049805
"1987-01-01",-0.232895201903858,-0.251886004219473
"1987-02-01",-0.19423397636929,-0.204970159531811
"1987-03-01",-0.0140418400140773,0.137257163085402
"1987-04-01",0.0983356508580798,0.22394165276101
"1987-05-01",0.12950524056124,0.104134443374873
"1987-06-01",0.276321266737442,0.19069875841187
"1987-07-01",0.0393717553207158,0.0641702954692747
"1987-08-01",0.214688275258576,0.215403840671519
"1987-09-01",0.258594465804801,0.394081650709796
"1987-10-01",0.132117573826752,-0.115685983227314
"1987-11-01",-0.176096465008255,-0.308406484667762
"1987-12-01",0.321749080668197,0.38199746240958
"1988-01-01",-0.208738322669995,-0.260499633180233
"1988-02-01",-0.524091129045011,-0.414461972280381
"1988-03-01",-0.464909890546094,-0.368462604460397
"1988-04-01",0.0749808178811545,0.167792319358445
"1988-05-01",-0.149680011840638,-0.032219291391167
"1988-06-01",0.134606838319059,0.122334256445712
"1988-07-01",0.343500085744414,0.318034019193217
"1988-08-01",-0.0457953007822908,-0.054935794412066
"1988-09-01",0.213231549815561,0.107681600913272
"1988-10-01",0.0456309149630867,-0.0770454366968663
"1988-11-01",-0.117233248194424,-0.0650488438225649
"1988-12-01",-0.222391398584648,-0.233199672567726
"1989-01-01",-0.6869063331638,-0.581000431433986
"1989-02-01",-0.478434419305101,-0.368117143565733
"1989-03-01",-0.755644469854242,-0.715605211964268
"1989-04-01",-0.838421796883353,-0.737708357917543
"1989-05-01",-0.458087533432707,-0.402647926940889
"1989-06-01",-0.267271027758837,-0.180107749114546
"1989-07-01",0.157013710030418,0.137762621174775
"1989-08-01",0.082084451996071,0.261914555183282
"1989-09-01",-0.0510190579419852,-0.065835597881134
"1989-10-01",-0.0479574888151501,-0.123378812502219
"1989-11-01",0.206076539381836,0.124648717792464
"1989-12-01",0.586909264359649,0.716762268895763
"1990-01-01",0.503922179041075,0.482856377980347
"1990-02-01",-0.0212623894324631,0.29332327798223
"1990-03-01",-0.0484484351193154,0.154366091049728
